flw_count,id,name,novels,score
376,2059163,一只白空空,"[{'nid': '7072571', 'pub_date': '2022-07-09 15:42:01'}, {'nid': '6494947', 'pub_date': '2023-01-15 13:00:00'}, {'nid': '4431673', 'pub_date': '2022-07-12 06:00:00'}, {'nid': '4720252', 'pub_date': '2020-04-06 11:38:51'}, {'nid': '5651505', 'pub_date': '2021-04-05 20:14:24'}, {'nid': '6558418', 'pub_date': '2022-04-26 19:00:00'}, {'nid': '5765537', 'pub_date': '2021-05-14 19:11:22'}, {'nid': '4343401', 'pub_date': '2019-09-06 20:43:41'}]",2.1亿
285,4980740,萨摩耶摇尾巴,"[{'nid': '7234474', 'pub_date': '2023-01-26 12:00:00'}, {'nid': '7153870', 'pub_date': '2022-07-27 16:37:43'}]",1.1亿
1333,4672470,Morisawa,"[{'nid': '6854399', 'pub_date': '2023-01-22 15:00:00'}, {'nid': '6832237', 'pub_date': '2022-05-25 18:00:00'}, {'nid': '6754955', 'pub_date': '2022-04-10 12:00:01'}]",4.8亿
895,2049300,寂寂如雪,"[{'nid': '5187711', 'pub_date': '2023-01-10 20:42:50'}, {'nid': '5177055', 'pub_date': '2022-04-18 17:10:00'}, {'nid': '5015479', 'pub_date': '2020-09-01 23:52:11'}, {'nid': '3233687', 'pub_date': '2017-06-23 08:55:38'}]",3.2亿
8828,2479512,时千辞,"[{'nid': '6561570', 'pub_date': '2023-01-22 12:00:00'}, {'nid': '6191294', 'pub_date': '2022-04-22 12:00:00'}, {'nid': '5728396', 'pub_date': '2021-08-24 17:00:00'}, {'nid': '4783288', 'pub_date': '2020-08-18 21:00:00'}, {'nid': '4903315', 'pub_date': '2021-03-25 19:30:00'}, {'nid': '4520706', 'pub_date': '2020-04-14 09:30:00'}]",32.8亿
219,4963749,拉弥亚看不见乌托邦,"[{'nid': '7395677', 'pub_date': '2023-01-29 12:00:00'}, {'nid': '7132504', 'pub_date': '2022-07-22 22:01:48'}]",1.2亿
2693,2476142,宴时陈羡,"[{'nid': '7573151', 'pub_date': '2023-01-10 21:00:00'}, {'nid': '5036044', 'pub_date': '2021-11-29 12:00:00'}, {'nid': '4831648', 'pub_date': '2021-06-03 00:00:00'}, {'nid': '4343783', 'pub_date': '2020-06-07 12:20:01'}, {'nid': '5243303', 'pub_date': '2022-09-21 18:59:59'}, {'nid': '5063156', 'pub_date': '2022-07-25 23:33:33'}, {'nid': '4750396', 'pub_date': '2022-03-28 23:59:59'}, {'nid': '4894679', 'pub_date': '2020-10-19 19:32:33'}, {'nid': '4109219', 'pub_date': '2019-04-07 16:02:16'}]",7.5亿
304,4431260,奶油小鹅,"[{'nid': '7278273', 'pub_date': '2023-02-02 21:00:00'}, {'nid': '7507947', 'pub_date': '2022-11-18 21:00:00'}, {'nid': '6688757', 'pub_date': '2022-08-19 20:00:00'}, {'nid': '6444515', 'pub_date': '2022-03-07 20:00:00'}]",1.1亿
7702,3304413,云劫,"[{'nid': '5088503', 'pub_date': '2023-01-26 12:00:00'}, {'nid': '5088489', 'pub_date': '2020-10-04 12:00:00'}, {'nid': '7003935', 'pub_date': '2022-10-04 12:00:00'}, {'nid': '5088496', 'pub_date': '2022-02-04 12:00:30'}, {'nid': '5500918', 'pub_date': '2021-05-06 12:00:00'}, {'nid': '6055479', 'pub_date': '2021-11-10 12:00:00'}, {'nid': '5272015', 'pub_date': '2021-03-02 12:00:00'}, {'nid': '5093030', 'pub_date': '2022-06-03 12:00:30'}, {'nid': '5239871', 'pub_date': '2020-11-27 12:00:00'}, {'nid': '7173928', 'pub_date': '2022-08-19 12:00:30'}, {'nid': '5275152', 'pub_date': '2021-03-19 12:00:00'}]",47.7亿
3051,3250451,金玉满庭,"[{'nid': '6524491', 'pub_date': '2023-01-19 12:00:00'}, {'nid': '5545007', 'pub_date': '2021-12-24 21:00:00'}, {'nid': '5031030', 'pub_date': '2020-07-27 14:46:03'}, {'nid': '5250087', 'pub_date': '2021-01-17 20:30:00'}, {'nid': '5112674', 'pub_date': '2021-05-11 19:35:00'}, {'nid': '5117892', 'pub_date': '2020-08-22 22:07:41'}]",8.4亿
350,2618598,猫咪鱼池,"[{'nid': '6960205', 'pub_date': '2023-02-04 17:00:00'}, {'nid': '5302691', 'pub_date': '2022-11-05 00:00:00'}, {'nid': '4453993', 'pub_date': '2022-04-01 00:00:00'}, {'nid': '5323138', 'pub_date': '2021-10-18 18:00:00'}, {'nid': '5321434', 'pub_date': '2020-11-29 14:36:45'}, {'nid': '4458685', 'pub_date': '2021-03-24 00:00:00'}, {'nid': '4425175', 'pub_date': '2020-10-28 18:00:00'}, {'nid': '5310540', 'pub_date': '2022-02-04 21:00:00'}, {'nid': '6783148', 'pub_date': '2022-12-18 00:52:56'}, {'nid': '6988298', 'pub_date': '2022-08-02 00:48:00'}, {'nid': '5258312', 'pub_date': '2020-10-27 11:44:03'}, {'nid': '4320127', 'pub_date': '2019-08-21 02:13:19'}, {'nid': '4357922', 'pub_date': '2019-12-31 21:50:55'}]",2.8亿
6382,1775182,爱小说的宅叶子,"[{'nid': '4059939', 'pub_date': '2020-06-12 21:00:00'}, {'nid': '4030557', 'pub_date': '2019-04-19 21:00:01'}, {'nid': '4998961', 'pub_date': '2022-05-10 21:00:00'}, {'nid': '6668001', 'pub_date': '2023-01-01 09:53:48'}, {'nid': '7664008', 'pub_date': '2023-01-01 09:54:00'}, {'nid': '3603994', 'pub_date': '2018-07-26 20:00:00'}, {'nid': '3614575', 'pub_date': '2019-04-07 18:10:01'}, {'nid': '3232641', 'pub_date': '2017-09-17 01:03:04'}, {'nid': '3403907', 'pub_date': '2017-11-19 01:57:00'}, {'nid': '3202008', 'pub_date': '2017-06-02 20:00:00'}, {'nid': '3370719', 'pub_date': '2018-06-11 01:56:00'}, {'nid': '3646651', 'pub_date': '2019-02-11 09:00:01'}, {'nid': '2731908', 'pub_date': '2016-04-07 00:10:30'}]",30.9亿
2493,3455384,饼鸽鸽,"[{'nid': '6915373', 'pub_date': '2023-01-02 22:09:26'}, {'nid': '6396893', 'pub_date': '2022-07-02 11:01:10'}, {'nid': '5954995', 'pub_date': '2021-12-21 06:00:01'}, {'nid': '5739632', 'pub_date': '2021-06-30 09:00:00'}]",8.7亿
96197,1923880,三千大梦叙平生,"[{'nid': '5515791', 'pub_date': '2023-01-14 22:10:00'}, {'nid': '6576337', 'pub_date': '2022-02-27 06:10:07'}, {'nid': '4641440', 'pub_date': '2020-07-23 05:53:00'}, {'nid': '4343791', 'pub_date': '2020-02-01 01:31:30'}, {'nid': '4033351', 'pub_date': '2019-06-27 20:00:00'}, {'nid': '3902137', 'pub_date': '2019-01-26 15:00:00'}, {'nid': '3442572', 'pub_date': '2018-09-08 12:30:00'}, {'nid': '3442268', 'pub_date': '2018-04-18 17:00:00'}, {'nid': '3366380', 'pub_date': '2017-12-03 12:00:00'}, {'nid': '3275563', 'pub_date': '2018-12-04 21:00:00'}, {'nid': '3319694', 'pub_date': '2017-09-12 13:45:00'}, {'nid': '3179578', 'pub_date': '2017-05-20 14:40:00'}, {'nid': '3179573', 'pub_date': '2017-07-23 14:00:00'}, {'nid': '3038951', 'pub_date': '2017-01-07 10:50:00'}, {'nid': '3121347', 'pub_date': '2017-03-20 17:30:00'}, {'nid': '3561640', 'pub_date': '2018-09-06 00:56:30'}, {'nid': '3119869', 'pub_date': '2017-03-06 17:36:21'}, {'nid': '2979444', 'pub_date': '2016-11-11 20:11:49'}]",352.9亿
198,4508160,身健且加餐,"[{'nid': '6639972', 'pub_date': '2022-03-10 15:08:12'}, {'nid': '6545130', 'pub_date': '2022-02-07 23:09:35'}]",2.2亿
73,5310501,哆啦A洛,"[{'nid': '7583660', 'pub_date': '2022-12-05 00:30:53'}]",5836.5万
30900,1784123,慕吱,"[{'nid': '7527696', 'pub_date': '2023-01-23 20:00:00'}, {'nid': '4845279', 'pub_date': '2021-11-30 20:00:00'}, {'nid': '3481552', 'pub_date': '2020-02-22 20:00:00'}, {'nid': '3984920', 'pub_date': '2021-07-26 20:00:00'}, {'nid': '3069898', 'pub_date': '2018-05-29 20:00:00'}, {'nid': '3963886', 'pub_date': '2020-12-27 20:00:00'}, {'nid': '4422225', 'pub_date': '2022-10-17 20:00:00'}, {'nid': '4213498', 'pub_date': '2022-08-07 19:00:00'}, {'nid': '6558145', 'pub_date': '2022-05-03 20:00:00'}, {'nid': '4621989', 'pub_date': '2020-05-30 20:00:00'}, {'nid': '3235261', 'pub_date': '2017-10-24 20:00:00'}, {'nid': '4014494', 'pub_date': '2019-06-30 20:00:00'}, {'nid': '3034288', 'pub_date': '2019-03-04 20:00:00'}, {'nid': '3133267', 'pub_date': '2017-04-03 20:00:00'}, {'nid': '2744597', 'pub_date': '2016-04-21 14:54:56'}, {'nid': '3162013', 'pub_date': '2018-01-23 20:00:00'}, {'nid': '3496456', 'pub_date': '2018-08-28 20:00:00'}, {'nid': '3527038', 'pub_date': '2018-12-04 20:00:00'}, {'nid': '4342358', 'pub_date': '2019-09-05 22:25:00'}, {'nid': '3992572', 'pub_date': '2019-10-07 20:00:00'}, {'nid': '2903033', 'pub_date': '2017-01-07 17:17:17'}, {'nid': '2741509', 'pub_date': '2016-04-17 17:00:00'}]",97.7亿
826,3243874,轻阖,"[{'nid': '6515180', 'pub_date': '2023-01-07 18:00:00'}, {'nid': '6325406', 'pub_date': '2022-03-20 21:00:00'}, {'nid': '5562758', 'pub_date': '2021-04-17 00:00:00'}, {'nid': '5721546', 'pub_date': '2021-11-19 21:00:00'}, {'nid': '5354575', 'pub_date': '2020-12-16 01:52:18'}, {'nid': '5340663', 'pub_date': '2020-12-09 01:59:41'}, {'nid': '5023742', 'pub_date': '2020-07-24 23:54:41'}, {'nid': '5686496', 'pub_date': '2021-04-11 13:28:50'}, {'nid': '5463692', 'pub_date': '2021-01-29 19:21:54'}, {'nid': '5230596', 'pub_date': '2020-10-12 00:47:55'}, {'nid': '7535101', 'pub_date': '2022-11-18 18:00:00'}, {'nid': '5064529', 'pub_date': '2020-08-07 00:11:45'}, {'nid': '5124509', 'pub_date': '2020-08-24 23:51:09'}]",4.5亿
3742,4331564,云十九,"[{'nid': '7229937', 'pub_date': '2023-01-13 03:00:00'}, {'nid': '6726680', 'pub_date': '2022-07-06 23:09:00'}, {'nid': '6336442', 'pub_date': '2022-02-01 18:00:00'}, {'nid': '6303295', 'pub_date': '2021-11-03 10:32:55'}, {'nid': '6299979', 'pub_date': '2021-11-01 11:50:01'}]",13.7亿
483,2870284,锦桑桑,"[{'nid': '6395338', 'pub_date': '2023-01-21 21:00:00'}, {'nid': '4857845', 'pub_date': '2021-12-05 09:00:00'}, {'nid': '4780397', 'pub_date': '2021-08-08 18:00:00'}, {'nid': '5487623', 'pub_date': '2022-10-26 09:00:00'}, {'nid': '5434895', 'pub_date': '2021-01-21 18:00:00'}, {'nid': '5551521', 'pub_date': '2021-03-04 00:10:00'}]",3.7亿
197,5365873,林秋见,"[{'nid': '7683370', 'pub_date': '2023-01-11 12:30:00'}]",1.3亿
1094,1768908,大嘘菊,"[{'nid': '3251754', 'pub_date': '2023-01-14 18:00:00'}, {'nid': '2830906', 'pub_date': '2022-01-08 12:00:00'}, {'nid': '3450519', 'pub_date': '2018-10-08 12:00:00'}, {'nid': '2931792', 'pub_date': '2016-09-18 17:06:03'}, {'nid': '2830964', 'pub_date': '2017-07-01 11:40:00'}, {'nid': '2720590', 'pub_date': '2016-06-29 15:20:00'}, {'nid': '4468466', 'pub_date': '2020-03-09 22:40:00'}]",2.5亿
194351,1810865,退戈,"[{'nid': '6883339', 'pub_date': '2023-01-18 12:04:53'}, {'nid': '5698937', 'pub_date': '2022-05-02 12:02:30'}, {'nid': '4501119', 'pub_date': '2021-03-08 06:00:00'}, {'nid': '4658774', 'pub_date': '2020-04-23 11:55:00'}, {'nid': '4163462', 'pub_date': '2019-12-31 13:00:00'}, {'nid': '5214228', 'pub_date': '2021-07-12 12:00:00'}, {'nid': '2892217', 'pub_date': '2017-11-15 20:00:00'}, {'nid': '3701899', 'pub_date': '2019-07-30 00:00:00'}, {'nid': '3355407', 'pub_date': '2018-12-20 21:35:00'}, {'nid': '3051654', 'pub_date': '2017-01-13 13:13:13'}, {'nid': '4423154', 'pub_date': '2020-09-19 10:15:00'}, {'nid': '3110860', 'pub_date': '2017-07-07 07:07:07'}, {'nid': '3939461', 'pub_date': '2019-05-09 00:00:01'}, {'nid': '3443063', 'pub_date': '2018-07-21 11:00:00'}, {'nid': '2892289', 'pub_date': '2018-04-04 00:00:00'}, {'nid': '4034885', 'pub_date': '2019-03-19 00:00:00'}, {'nid': '3631906', 'pub_date': '2018-06-25 16:20:00'}, {'nid': '3137851', 'pub_date': '2018-05-17 22:22:22'}, {'nid': '3702105', 'pub_date': '2020-02-05 00:00:00'}, {'nid': '5167216', 'pub_date': '2020-09-12 16:56:52'}, {'nid': '3359714', 'pub_date': '2017-09-27 08:10:45'}, {'nid': '3110855', 'pub_date': '2017-08-29 20:20:20'}, {'nid': '3110848', 'pub_date': '2017-05-27 00:10:10'}, {'nid': '3043679', 'pub_date': '2017-01-05 00:55:55'}, {'nid': '2802667', 'pub_date': '2016-09-24 11:11:11'}, {'nid': '3160352', 'pub_date': '2017-04-13 22:13:17'}]",665.8亿
751,4037873,沙,"[{'nid': '6346740', 'pub_date': '2021-12-26 21:00:00'}, {'nid': '6301472', 'pub_date': '2022-12-23 18:00:00'}, {'nid': '6446121', 'pub_date': '2022-09-22 16:22:24'}, {'nid': '6389930', 'pub_date': '2022-06-27 18:00:00'}, {'nid': '6153468', 'pub_date': '2022-01-02 09:00:00'}, {'nid': '6191022', 'pub_date': '2021-10-25 21:00:00'}, {'nid': '6035226', 'pub_date': '2021-08-02 23:34:00'}, {'nid': '6679861', 'pub_date': '2023-01-27 00:00:00'}, {'nid': '6178363', 'pub_date': '2022-09-13 09:00:00'}]",9.8亿
1420,1616876,苏尔酱,"[{'nid': '6793430', 'pub_date': '2022-12-21 15:40:00'}, {'nid': '2863940', 'pub_date': '2018-01-11 19:25:57'}, {'nid': '4206605', 'pub_date': '2022-04-07 16:26:02'}, {'nid': '3462213', 'pub_date': '2018-07-23 21:45:25'}, {'nid': '3863732', 'pub_date': '2019-09-05 12:00:00'}, {'nid': '2614233', 'pub_date': '2016-11-17 20:20:00'}, {'nid': '2511371', 'pub_date': '2015-07-20 16:30:39'}, {'nid': '7703338', 'pub_date': '2023-01-12 14:45:42'}, {'nid': '2522498', 'pub_date': '2015-07-30 09:35:07'}, {'nid': '2522572', 'pub_date': '2015-07-30 10:45:36'}, {'nid': '2613146', 'pub_date': '2015-11-23 18:30:45'}]",5亿
2208,3316883,西枫,"[{'nid': '5674918', 'pub_date': '2021-07-12 15:00:00'}, {'nid': '5603977', 'pub_date': '2021-03-15 14:56:54'}, {'nid': '5120544', 'pub_date': '2021-02-24 15:00:00'}, {'nid': '5104362', 'pub_date': '2020-08-18 20:37:58'}, {'nid': '6073287', 'pub_date': '2023-01-18 22:15:39'}]",10亿
503,3894827,柒喵是个坏喵,"[{'nid': '7332801', 'pub_date': '2023-01-10 18:00:00'}, {'nid': '6688405', 'pub_date': '2022-08-29 18:00:00'}, {'nid': '6633957', 'pub_date': '2022-05-31 18:00:00'}, {'nid': '6364648', 'pub_date': '2022-03-01 15:00:01'}, {'nid': '6338301', 'pub_date': '2021-11-20 23:00:00'}, {'nid': '6958991', 'pub_date': '2022-11-22 18:00:01'}]",2.3亿
6070,3458556,狮子星系,"[{'nid': '5833166', 'pub_date': '2021-06-04 20:09:59'}, {'nid': '6359342', 'pub_date': '2023-01-26 12:00:00'}, {'nid': '5981278', 'pub_date': '2022-02-28 12:00:00'}, {'nid': '5939657', 'pub_date': '2022-09-13 12:00:00'}, {'nid': '5647886', 'pub_date': '2021-07-05 12:00:00'}, {'nid': '5302139', 'pub_date': '2021-03-29 15:00:00'}]",15.9亿
3800,2498411,的卢,"[{'nid': '5123722', 'pub_date': '2023-01-09 12:00:00'}, {'nid': '7240704', 'pub_date': '2022-09-22 03:11:00'}, {'nid': '5070684', 'pub_date': '2021-11-22 09:00:00'}, {'nid': '4712496', 'pub_date': '2022-05-09 10:00:00'}, {'nid': '4168812', 'pub_date': '2020-03-07 03:36:08'}, {'nid': '4894130', 'pub_date': '2020-11-24 12:00:00'}, {'nid': '5310909', 'pub_date': '2020-11-24 00:19:11'}]",13.7亿
567,2397079,暮光里的钟声,"[{'nid': '5576214', 'pub_date': '2023-01-11 00:00:15'}, {'nid': '5549309', 'pub_date': '2021-07-17 17:23:09'}, {'nid': '5357207', 'pub_date': '2020-12-17 21:23:22'}, {'nid': '3960381', 'pub_date': '2018-12-17 00:24:00'}]",2.3亿
208,4416878,白不一二,"[{'nid': '7068902', 'pub_date': '2022-08-05 21:00:00'}, {'nid': '6593885', 'pub_date': '2022-05-30 21:00:00'}, {'nid': '6868234', 'pub_date': '2022-07-02 10:43:30'}, {'nid': '6422137', 'pub_date': '2021-12-29 10:10:10'}]",1.5亿
23,2510892,五城,"[{'nid': '6844635', 'pub_date': '2022-12-31 17:20:23'}, {'nid': '5586071', 'pub_date': '2021-03-09 01:05:13'}]",3901.5万
4688,2163331,珊瑚与夏天,"[{'nid': '6362177', 'pub_date': '2023-01-14 10:53:26'}, {'nid': '4752397', 'pub_date': '2022-04-23 16:56:26'}, {'nid': '3972445', 'pub_date': '2020-09-26 20:35:53'}, {'nid': '3942805', 'pub_date': '2019-03-26 12:00:01'}, {'nid': '5204708', 'pub_date': '2021-05-25 18:53:00'}, {'nid': '5813979', 'pub_date': '2021-11-22 21:53:26'}, {'nid': '4414163', 'pub_date': '2020-02-26 23:00:15'}, {'nid': '4419813', 'pub_date': '2020-04-15 20:53:53'}, {'nid': '4092305', 'pub_date': '2019-11-08 07:26:53'}, {'nid': '3484623', 'pub_date': '2018-11-30 18:07:14'}, {'nid': '3947775', 'pub_date': '2018-12-24 09:00:01'}, {'nid': '3401022', 'pub_date': '2017-11-12 12:40:11'}, {'nid': '3945879', 'pub_date': '2019-03-18 00:00:01'}]",25.4亿
92,5320533,美少女dibala,"[{'nid': '7636351', 'pub_date': '2023-01-01 20:13:14'}]",2527.4万
103,4292655,长尔鲨,"[{'nid': '7658090', 'pub_date': '2023-01-09 00:35:00'}]",4133.6万
104,3472904,芮伊,"[{'nid': '5295922', 'pub_date': '2022-07-25 09:00:01'}, {'nid': '7200041', 'pub_date': '2023-01-12 21:00:00'}, {'nid': '7662942', 'pub_date': '2023-01-01 00:00:00'}]",8967.6万
1841,2225788,斯文有料,"[{'nid': '6977971', 'pub_date': '2023-01-11 21:03:03'}, {'nid': '6054651', 'pub_date': '2022-08-23 21:00:01'}, {'nid': '5999337', 'pub_date': '2021-11-23 12:00:00'}, {'nid': '5775703', 'pub_date': '2021-07-08 15:00:00'}, {'nid': '5516448', 'pub_date': '2021-04-14 03:00:00'}, {'nid': '5020702', 'pub_date': '2020-09-15 00:00:01'}, {'nid': '4937312', 'pub_date': '2022-05-10 18:00:00'}, {'nid': '4865414', 'pub_date': '2020-06-20 00:00:00'}, {'nid': '4809074', 'pub_date': '2020-05-06 22:43:40'}, {'nid': '5240049', 'pub_date': '2021-01-21 00:30:30'}, {'nid': '3694319', 'pub_date': '2018-12-24 00:20:00'}]",10.1亿
145,5142907,兑水喝可乐,"[{'nid': '7542006', 'pub_date': '2023-01-25 09:00:00'}, {'nid': '7576245', 'pub_date': '2022-12-03 15:00:00'}, {'nid': '7370365', 'pub_date': '2022-11-16 06:00:00'}, {'nid': '7361116', 'pub_date': '2022-09-18 12:00:00'}]",8204.5万
24,4838990,柒阁,"[{'nid': '7704664', 'pub_date': '2023-01-12 21:00:00'}, {'nid': '6972843', 'pub_date': '2022-06-17 00:06:55'}]",5432.4万
494,793733,花开常在,"[{'nid': '4186828', 'pub_date': '2023-01-20 12:00:00'}, {'nid': '4101769', 'pub_date': '2019-04-02 13:15:13'}, {'nid': '3423161', 'pub_date': '2017-12-07 19:11:20'}, {'nid': '2649332', 'pub_date': '2016-01-09 16:33:01'}, {'nid': '2562299', 'pub_date': '2015-09-08 23:53:04'}, {'nid': '2157881', 'pub_date': '2014-07-01 09:15:05'}, {'nid': '2045600', 'pub_date': '2014-03-09 14:38:16'}, {'nid': '2619364', 'pub_date': '2015-12-03 22:42:56'}, {'nid': '1626885', 'pub_date': '2012-09-13 17:28:11'}, {'nid': '1431720', 'pub_date': '2012-01-26 19:49:09'}]",1.7亿
174,3176180,雪幽月冥,"[{'nid': '6262921', 'pub_date': '2023-01-11 13:30:00'}, {'nid': '6352868', 'pub_date': '2022-03-15 09:00:00'}, {'nid': '4941374', 'pub_date': '2020-06-29 14:30:20'}, {'nid': '5976210', 'pub_date': '2022-10-04 00:00:01'}, {'nid': '5832030', 'pub_date': '2021-06-29 12:42:30'}, {'nid': '4993548', 'pub_date': '2020-10-03 12:00:00'}, {'nid': '6702875', 'pub_date': '2022-11-27 10:00:00'}]",1.3亿
357,2507220,云g,"[{'nid': '4756633', 'pub_date': '2023-01-14 09:02:06'}, {'nid': '6187615', 'pub_date': '2022-03-31 21:00:00'}, {'nid': '5525746', 'pub_date': '2021-06-28 09:00:00'}, {'nid': '5220742', 'pub_date': '2021-01-11 18:00:00'}, {'nid': '5023470', 'pub_date': '2020-07-24 22:33:57'}, {'nid': '6961398', 'pub_date': '2022-10-06 22:25:01'}, {'nid': '6335038', 'pub_date': '2021-11-18 15:22:43'}, {'nid': '4807003', 'pub_date': '2020-05-04 23:46:34'}, {'nid': '4169750', 'pub_date': '2019-05-23 22:06:16'}, {'nid': '4304381', 'pub_date': '2019-08-11 23:21:08'}]",1.8亿
48,5368628,瀛洲玉羽,"[{'nid': '7664185', 'pub_date': '2023-01-01 11:18:40'}]",3214.8万
164,4418425,浮生假面,"[{'nid': '7412060', 'pub_date': '2023-01-09 12:00:00'}, {'nid': '6424502', 'pub_date': '2021-12-30 09:02:23'}, {'nid': '6563552', 'pub_date': '2022-09-16 21:00:00'}]",1.5亿
3308,4340030,舒月清,"[{'nid': '6660222', 'pub_date': '2023-01-16 02:34:13'}, {'nid': '7509736', 'pub_date': '2022-12-20 04:16:43'}, {'nid': '7362168', 'pub_date': '2022-11-01 02:46:58'}, {'nid': '7116632', 'pub_date': '2022-09-20 00:38:21'}, {'nid': '6572932', 'pub_date': '2022-06-15 03:00:00'}, {'nid': '6311780', 'pub_date': '2021-11-07 00:46:35'}]",13.3亿
379,4304085,月莓莓兔,"[{'nid': '6360431', 'pub_date': '2022-11-04 00:00:00'}, {'nid': '6333384', 'pub_date': '2023-01-14 09:00:00'}, {'nid': '6305671', 'pub_date': '2021-11-12 00:00:00'}]",2亿
2630,3797153,桃花白茶,"[{'nid': '6497993', 'pub_date': '2023-01-10 19:15:56'}, {'nid': '6805801', 'pub_date': '2022-08-22 18:00:01'}, {'nid': '6326668', 'pub_date': '2022-03-28 06:00:01'}, {'nid': '5942549', 'pub_date': '2021-11-15 18:00:01'}, {'nid': '5631836', 'pub_date': '2021-03-29 21:00:01'}]",18.9亿
