aid,author,era,nid,rank,rank_date,tags,title,vip_date,word_count,xx,yc
2078814,三日成晶,架空历史,7660289,1,2023-02-17,"天作之合,穿越时空,甜文,穿书",是我是我还是我,2023-02-14,8.89万,言情,原创
1775974,梦里呓语,古色古香,3871848,2,2023-02-17,"红楼梦,灵异神怪,古典名著,爽文",太虚幻境可持续发展报告,2023-02-14,10.77万,言情,衍生
5361558,我算什么小饼干,幻想未来,7657542,3,2023-02-17,"重生,甜文",虫族之渣虫觉醒笔记,2023-02-14,16.34万,纯爱,原创
1643745,田园泡,近代现代,3226859,4,2023-02-17,"情有独钟,业界精英,甜文",我靠美貌嫁入豪门,2023-02-14,7.28万,言情,原创
3796793,禾优,近代现代,7140720,1,2023-02-20,"幻想空间,穿越时空,系统,快穿",禁止独占清冷炮灰！[快穿],2023-02-17,8.68万,纯爱,原创
2212739,兔月关,架空历史,6593856,2,2023-02-20,"生子,穿越时空,科举,基建",我在首辅科举文里重生了,2023-02-17,10.36万,纯爱,原创
3366615,榆鱼,近代现代,7560202,1,2023-02-22,"灵异神怪,恐怖,无限流,玄学",解梦［无限］,2023-02-19,9.26万,纯爱,原创
1256565,黄鱼听雷,近代现代,7430394,1,2023-02-23,"都市情缘,天之骄子",当冬夜渐暖,2023-02-20,5.88万,言情,原创
3429765,扶以东桑,近代现代,7577161,2,2023-02-23,"娱乐圈,甜文,穿书,爽文",和顶流亲弟在综艺爆红,2023-02-20,7.48万,言情,原创
2147997,一江听月,架空历史,7532878,3,2023-02-23,"情有独钟,天作之合,甜文,爽文",她说我是渣男我不服,2023-02-20,9.73万,言情,原创
3074336,浮梦遥,近代现代,4981320,4,2023-02-23,"综漫,少年漫,系统,文野",二次元制作人,2023-02-20,8.25万,无CP,衍生
1802272,蜀七,近代现代,4427051,5,2023-02-17,"灵魂转换,竞技,励志人生,爽文",新王登基[电竞],2023-02-14,9.73万,纯爱,原创
2673826,香草芋圆,架空历史,6947362,6,2023-02-17,"豪门世家,情有独钟,重生,成长",家臣,2023-02-14,10.84万,言情,原创
3499067,影入青衣,近代现代,6932814,7,2023-02-17,"年下,娱乐圈,系统,爽文",快穿归来后我靠非遗爆红了,2023-02-14,9.56万,纯爱,原创
2369476,轻予,近代现代,7586885,8,2023-02-17,"时代奇缘,甜文,爽文",退圈后，我靠职场综艺火爆全网,2023-02-14,7.94万,言情,原创
2292035,十撇,近代现代,7678277,1,2023-02-18,"女配,甜文,快穿,爽文",谁不着迷于漂亮女配呢[快穿],2023-02-15,8.23万,言情,原创
2216633,山有青木,架空历史,7633526,2,2023-02-18,"甜文,穿书",再不行我可就走了啊,2023-02-15,9.35万,言情,原创
2286285,薇我无酒,幻想未来,6619760,3,2023-02-18,"穿越时空,星际,系统,爽文",我用三句话吓哭全星际,2023-02-15,7.49万,言情,原创
3953916,司雨情,架空历史,7512269,1,2023-02-19,"爱情战争,天作之合,婚恋,爽文",妄折她,2023-02-16,8.54万,言情,原创
2146080,归鸿落雪,近代现代,6779144,2,2023-02-19,"异能,甜文,校园",闭嘴我不听,2023-02-16,10.41万,纯爱,原创
2157992,星陨落,架空历史,7717868,3,2023-02-19,"红楼梦,古典名著,聊斋,封神",诸天聊天群从西游开始,2023-02-16,11.08万,言情,衍生
3737933,熊熊云吞,近代现代,5678390,1,2023-02-21,"阴差阳错,励志人生,直播,咒回",没有当禅院家主的欲望,2023-02-18,8.75万,纯爱,衍生
2257287,糖中猫,近代现代,7791009,2,2023-02-21,"娱乐圈,系统,爽文",我在娱乐圈做神豪,2023-02-18,7.64万,言情,原创
3027978,糖果粉粉,近代现代,7602982,3,2023-02-21,"女配,打脸,穿书",穿成恶女配后，偏执男主不放过我！[快穿],2023-02-18,6.5万,言情,原创
2973098,与神同行,近代现代,7251962,4,2023-02-21,"穿越时空,系统,爽文,柯南",哥谭人米花生存RPG,2023-02-18,8.92万,言情,衍生
3080644,鱼不乖,幻想未来,6548702,3,2023-02-20,"科幻,女强,未来架空,爽文",穿成机器人后，我无敌了！,2023-02-17,7.98万,言情,原创
3044844,日日复日日,架空历史,6218983,2,2023-02-22,"仙侠修真,系统,甜文,穿书",当反派绑定了女主系统,2023-02-19,9.65万,言情,原创
2855001,风听澜,近代现代,7435760,3,2023-02-22,"恐怖,天作之合,乡村爱情,种田文",灵异文关底Boss竟是我老婆,2023-02-19,8.94万,百合,原创
1544336,南陶,架空历史,7413978,5,2023-02-23,"仙侠修真,打脸,爽文",沙雕师姐每天都在换人设,2023-02-20,9.17万,言情,原创
4753986,汪汪碎大冰,近代现代,6882028,9,2023-02-17,"情有独钟,天之骄子",织月亮[校园],2023-02-14,6.48万,言情,原创
4706460,长风缚雪,近代现代,7112741,10,2023-02-17,"幻想空间,情有独钟,恋爱合约,天作之合",钓系O的高冷小哭包,2023-02-14,9.64万,纯爱,原创
2152036,酸奶蛋糕,近代现代,7482598,4,2023-02-18,"豪门世家,重生,甜文,爽文",跟老板重回高中,2023-02-15,6.98万,言情,原创
2701708,昼眠梦君,幻想未来,6517895,5,2023-02-18,"幻想空间,爽文,直播,校园",开学第一天全校穿越,2023-02-15,10.92万,纯爱,原创
2345639,绿白黑,近代现代,3980267,6,2023-02-18,"强强,竞技,爽文,升级流",绝对巨星[足球],2023-02-15,9.86万,纯爱,衍生
4530410,淮青山,近代现代,7282235,7,2023-02-18,"豪门世家,甜文,快穿,爽文",从今天开始不做渣女[快穿],2023-02-15,8.87万,百合,原创
3730060,猫猫调查员,幻想未来,6900215,4,2023-02-19,"灵异神怪,前世今生,天作之合,校园",女友是怪物怎么办,2023-02-16,7.04万,言情,原创
4705953,银发天然卷,幻想未来,7484840,5,2023-02-19,"综漫,海贼王,女强,基建",我在伟大航路上靠基建当新皇,2023-02-16,12.59万,言情,衍生
2441433,黑皮犬,近代现代,4123344,6,2023-02-19,"打脸,穿书",乱世奶嗝受,2023-02-16,9.13万,纯爱,原创
1624015,狐狸不归,近代现代,6279001,7,2023-02-19,"幻想空间,豪门世家,情有独钟,因缘邂逅",秘密花园,2023-02-16,9.37万,纯爱,原创
2678673,一如恰,架空历史,6774929,8,2023-02-19,"情有独钟,仙侠修真,甜文,穿书",尊上他又在寻欢作乐[穿书],2023-02-16,9.03万,纯爱,原创
2376593,第一只喵,架空历史,6669296,5,2023-02-21,"宫廷侯爵,豪门世家,情有独钟,天作之合",贤妻如她,2023-02-18,9.16万,言情,原创
2158044,四叶草多一片,架空历史,7736981,6,2023-02-21,"综漫,文野,咒回,柯南",变成一个呱蛙子,2023-02-18,9.2万,无CP,衍生
1866162,祝君龄,幻想未来,5197839,7,2023-02-21,"穿越时空,种田文,美食,直播",给星际人民直播蓝星[种田],2023-02-18,8.9万,纯爱,原创
2413705,二月初九,近代现代,3998410,8,2023-02-21,"灵异神怪,无限流,直播,校园",我在无限大学佛系求生,2023-02-18,8.07万,纯爱,原创
3102358,桔柚子,近代现代,4977799,9,2023-02-21,"英美衍生,西方罗曼,游戏网游,超级英雄",[综英美]救世主模拟器,2023-02-18,8.73万,纯爱,衍生
1993323,林果冻,近代现代,4941349,4,2023-02-20,"女配,甜文,穿书",穿成娃综里的对照组女配,2023-02-17,6.38万,言情,原创
2148441,罗子逢,近代现代,5890609,4,2023-02-22,"种田文,穿书,爽文,年代文",七零炮灰亲妈苏醒后,2023-02-19,8.09万,言情,原创
2169444,王浩然,架空历史,3681976,5,2023-02-22,"武侠,穿越时空,系统,马甲文",[综武侠]圣火令,2023-02-19,9.91万,纯爱,衍生
4091985,麦田雪人,近代现代,6915603,6,2023-02-22,"豪门世家,情有独钟,古穿今,姐弟恋",我养大了真千金和真少爷,2023-02-19,9.15万,言情,原创
4377070,春归昼,近代现代,7617382,6,2023-02-23,"都市情缘,情有独钟,娱乐圈,甜文",白月光Omega总是在钓我,2023-02-20,9.84万,百合,原创
2509740,嫆钰,近代现代,7654235,7,2023-02-23,"综漫,强强,超级英雄,文野",背刺执行官上司后,2023-02-20,8.79万,言情,衍生
4982790,雾拾九,近代现代,7713381,8,2023-02-23,"花季雨季,天之骄子,娱乐圈,日韩",哥哥太多怎么办[娱乐圈],2023-02-20,8.49万,无CP,衍生
3539766,智齿不是病,近代现代,7244365,9,2023-02-23,"种田文,甜文,年代文",七零重组一家人,2023-02-20,8.69万,言情,原创
5284555,今知有谁,近代现代,7695524,11,2023-02-17,"幻想空间,异世大陆",[原神]成为愚人众第六席之后,2023-02-14,9.3万,言情,衍生
5388303,炼丹炉,近代现代,7699825,12,2023-02-17,"时代奇缘,爽文",顶流的神棍妹妹在娃综爆红,2023-02-14,12.58万,言情,原创
3870399,叶卡,近代现代,6396821,13,2023-02-17,"豪门世家,重生,爽文,玄学",假千金在玄学综艺团宠了,2023-02-14,7.03万,言情,原创
1985670,苏昔,架空历史,6637561,8,2023-02-18,"穿越时空,爽文,东方玄幻",打造修仙界第一世家,2023-02-15,9.57万,言情,原创
1575589,季阅,近代现代,5856767,9,2023-02-18,"都市情缘,豪门世家",晚九朝五,2023-02-15,9.04万,纯爱,原创
3113570,三花喵,架空历史,7318444,10,2023-02-18,"强强,仙侠修真,爽文",全家大佬我养老,2023-02-15,8.87万,言情,原创
3852685,喃喃果,架空历史,5783100,11,2023-02-18,"爱情战争,天作之合,甜文",簪我长安花,2023-02-15,9.02万,言情,原创
1124503,桃花引,近代现代,7433172,9,2023-02-19,"甜文,穿书,爽文",穿书后我被豪门大佬娇宠了,2023-02-16,6.59万,言情,原创
3730164,终晚夏,近代现代,6432748,10,2023-02-19,"情有独钟,娱乐圈,甜文,爽文",我真没想在恋综当万人迷,2023-02-16,10.79万,纯爱,原创
5387715,stillcallingme,近代现代,7692579,10,2023-02-21,"天之骄子,竞技",[足球]巴西兔子食肉吗？,2023-02-18,16.98万,纯爱,衍生
5338184,辣油粽,近代现代,7733383,5,2023-02-20,"情有独钟,种田文,穿书,年代文",穿成对照组女配[七零],2023-02-17,8.6万,言情,原创
5220835,诸葛咸鱼,近代现代,7514825,6,2023-02-20,"娱乐圈,系统,穿书,爽文",我，拆房专家[娱乐圈],2023-02-17,7.39万,言情,原创
2371041,水仙乘鲤,近代现代,5145048,7,2023-02-22,"娱乐圈,打脸,甜文,穿书",钓系咸鱼穿成综艺万人嫌摆烂后,2023-02-19,9.15万,纯爱,原创
2276992,盐焗大龙虾,架空历史,6770076,8,2023-02-22,"穿越时空,仙侠修真,爽文,升级流",效率修仙第一人,2023-02-19,10.84万,言情,原创
1558656,踏蓉客,近代现代,7435052,9,2023-02-22,"娱乐圈,穿书,爽文,直播",漂亮炮灰在恋综成了万人迷,2023-02-19,8.72万,纯爱,原创
4088438,三两秋,近代现代,6645377,10,2023-02-23,"女配,系统,快穿,穿书",短命炮灰皆成白月光[快穿],2023-02-20,7.43万,言情,原创
1348881,青律,古色古香,6929335,11,2023-02-23,"天之骄子,平步青云,爽文,升级流",抱歉我修轮回道,2023-02-20,11.04万,言情,原创
4432440,岁初寒,近代现代,6953412,14,2023-02-17,"情有独钟,系统,穿书,校园",在校园文中充当工具人,2023-02-14,17.56万,纯爱,原创
4379498,禅酒,幻想未来,6496774,12,2023-02-18,"强强,幻想空间,甜文,穿书",绿茶受他分化成了顶级A,2023-02-15,9.7万,纯爱,原创
2591484,刘南南,近代现代,7583495,13,2023-02-18,"欢喜冤家,娱乐圈,都市异闻",顶流兄妹靠“撕逼”在综艺爆红,2023-02-15,6.14万,言情,原创
2396474,寻路路,幻想未来,7662785,14,2023-02-18,"综漫,少女漫,文野,柯南",提瓦特猫猫饲养记录,2023-02-15,11.35万,言情,衍生
1835637,荔芒,近代现代,6685735,11,2023-02-19,"年下,都市情缘,情有独钟,甜文",暧昧陷阱,2023-02-16,7.78万,百合,原创
2246150,折星辰,近代现代,5123072,12,2023-02-19,励志人生,娇吻,2023-02-16,6.38万,言情,原创
2445547,雪客,近代现代,7596086,11,2023-02-21,"都市情缘,情有独钟,因缘邂逅,恋爱合约",她好像不适应有个老婆,2023-02-18,7.98万,百合,原创
852591,无稽之谈,架空历史,7073222,12,2023-02-21,"强强,年下,励志人生,基建",亡国之君他会读心！,2023-02-18,9.47万,纯爱,原创
1908339,不及流光,近代现代,6594813,7,2023-02-20,"火影,穿越时空,少年漫,成长",宇智波一树今天回家了吗,2023-02-17,8.91万,无CP,衍生
2349398,更知,近代现代,5083945,10,2023-02-22,"生子,娱乐圈,星际,甜文",小人鱼他超粘人的,2023-02-19,8.19万,纯爱,原创
412296,黑猫白白,近代现代,4991402,11,2023-02-22,"系统,穿书,爽文,年代文",七零女知青美又凶,2023-02-19,7.6万,言情,原创
2678559,宋昭,近代现代,5733125,12,2023-02-23,"豪门世家,天之骄子",高台明月,2023-02-20,7.2万,言情,原创
4393389,告熹通,近代现代,7559912,13,2023-02-23,"网王,花季雨季,天之骄子,少年漫",神之子的姐姐不是神之女,2023-02-20,17.62万,言情,衍生
2841005,简淡,幻想未来,7701553,14,2023-02-23,"幻想空间,情有独钟,女强,萌宠",穿成虎鲸后我被迫内卷了,2023-02-20,8.06万,言情,原创
2775971,我寻,架空历史,5999993,15,2023-02-17,"东方玄幻,萌宠",随便捡小狗会出大问题,2023-02-14,8.91万,言情,原创
5407660,祈芡,近代现代,7720829,16,2023-02-17,"豪门世家,娱乐圈,现代架空,都市异闻",看到老公头顶弹幕后我爆红了,2023-02-14,9.88万,言情,原创
4595898,仗马,近代现代,7241338,15,2023-02-18,"生子,都市情缘,豪门世家,娱乐圈",大佬假戏真做后我带球跑了,2023-02-15,12.31万,纯爱,原创
2256911,混吃等死中,架空历史,3932442,16,2023-02-18,"虐恋情深,打脸,快穿,复仇虐渣",黑月光总抢火葬场[快穿],2023-02-15,10.52万,纯爱,原创
5012296,月趻,近代现代,7352591,17,2023-02-18,"强强,虐恋情深,现代架空",温驯烈火[女尊],2023-02-15,8.95万,女尊,原创
291895,花冉叶,近代现代,7059366,18,2023-02-18,"网王,近水楼台,天之骄子,少年漫",无法拒绝的越前同学,2023-02-15,9.01万,言情,衍生
3382750,潜寐,近代现代,6219237,13,2023-02-19,"年下,重生,穿书",炮灰死后成了女主的白月光。,2023-02-16,9.31万,百合,原创
5320458,黄金厚蛋烧,近代现代,7738787,14,2023-02-19,"近水楼台,穿越时空,游戏网游,现代架空",[原神]大风纪官今天也很生气,2023-02-16,8.33万,言情,衍生
5099660,宋九音,近代现代,7333815,15,2023-02-19,"幻想空间,甜文,萌宠",我的男友是毛茸茸顶流,2023-02-16,9.14万,纯爱,原创
5337870,升兮兮,近代现代,7745352,16,2023-02-19,"生子,豪门世家,娱乐圈,爽文",真少爷带球跑后所有人火葬场了,2023-02-16,8.58万,纯爱,原创
4715588,鹤吾,幻想未来,7718485,17,2023-02-19,"恐怖,无限流,悬疑推理,直播",规则怪谈直播间[无限],2023-02-16,7.73万,言情,原创
2031329,阿扶光,近代现代,7195631,13,2023-02-21,"情有独钟,天作之合,娱乐圈,甜文",和顶流宿敌上恋爱综艺后,2023-02-18,10.32万,纯爱,原创
2825117,苏流云,近代现代,6409839,14,2023-02-21,"豪门世家,情有独钟,娱乐圈,甜文",小可怜在恋综被宠飞了,2023-02-18,9.61万,纯爱,原创
1871928,闫桔,架空历史,6777010,8,2023-02-20,"情有独钟,天作之合,穿越时空",穿成心机丫鬟后,2023-02-17,10.6万,言情,原创
3075061,文予,近代现代,7597117,9,2023-02-20,"豪门世家,虐恋情深,相爱相杀,爽文",万人嫌活成甜文主角,2023-02-17,12.09万,纯爱,原创
2520966,热到昏厥,近代现代,5133510,10,2023-02-20,"都市情缘,欢喜冤家,甜文",和情敌结婚以后,2023-02-17,8.12万,百合,原创
3078328,洋洋兮与,架空历史,7422892,11,2023-02-20,"天作之合,甜文",摆烂后我成为了皇后,2023-02-17,9.21万,言情,原创
5367941,雨落随风,幻想未来,7663105,12,2023-02-20,"幻想空间,种田文,异能,萌宠",全球进化后我辞职去种田了,2023-02-17,14.81万,纯爱,原创
4862602,楠言羽,近代现代,7037005,12,2023-02-22,"综漫,家教,灵魂转换,咒回",当十代目和最强灵魂互换,2023-02-19,9.04万,无CP,衍生
3945061,春书,近代现代,6480442,13,2023-02-22,"打脸,快穿,爽文",清冷美人[快穿],2023-02-19,7.3万,言情,原创
4900007,种瓜,近代现代,7503782,15,2023-02-23,"都市情缘,天之骄子,业界精英,甜文",固定宠爱,2023-02-20,6.32万,言情,原创
819114,梦廊雨,近代现代,7040624,16,2023-02-23,"恐怖,女强,无限流,爽文",我全家都穿进了无限游戏,2023-02-20,7.23万,言情,原创
4033601,羽漱临风,架空历史,7264383,17,2023-02-17,"强强,宫廷侯爵,情有独钟,重生",我见美人如名将,2023-02-14,13.38万,纯爱,原创
2318882,桃心向太阳,幻想未来,7673972,18,2023-02-17,"异能,女强,爽文,升级流",克系灵气复苏进行中,2023-02-14,10.44万,无CP,原创
2362611,懒寻,近代现代,3919432,19,2023-02-17,"都市情缘,娱乐圈,甜文",闪光暗恋[娱乐圈],2023-02-14,7.83万,言情,原创
1985624,十方骨,近代现代,4390967,20,2023-02-17,"都市情缘,豪门世家,破镜重圆,成长",白月光的替身不干了,2023-02-14,10.83万,纯爱,原创
3745318,北山小石,近代现代,6146310,19,2023-02-18,"综漫,少年漫,系统,咒回",万人迷游戏养崽后，成为大佬们的白月光,2023-02-15,8.49万,言情,衍生
1727405,蔚竹,近代现代,5828342,20,2023-02-18,"豪门世家,天之骄子,甜文",豪门作精的婚后日常,2023-02-15,6.07万,言情,原创
2691084,果冻橙,近代现代,4482585,21,2023-02-18,"豪门世家,励志人生",骄矜,2023-02-15,6.47万,言情,原创
3097366,半今八两,幻想未来,7126994,22,2023-02-18,"女强,星际,穿书,爽文",被迫成为最强机甲师,2023-02-15,8.63万,言情,原创
3390067,金堆玉砌,幻想未来,5938232,23,2023-02-18,"强强,穿越时空,机甲,星际",虫族之软饭硬吃,2023-02-15,10.59万,纯爱,原创
4879045,吱吱复吱吱,幻想未来,7025291,24,2023-02-18,"异能,游戏网游,星际,爽文",星际第一打野,2023-02-15,13.5万,纯爱,原创
